Alabama,AL,32.3182314,-86.902298
Alaska,AK,63.588753,-154.4930619
Arizona,AZ,34.0489281,-111.0937311
Arkansas,AR,35.20105,-91.8318334
California,CA,36.778261,-119.4179324
Colorado,CO,39.5500507,-105.7820674
Connecticut,CT,41.6032207,-73.087749
Delaware,DE,38.9108325,-75.5276699
Florida,FL,27.6648274,-81.5157535
Georgia,GA,32.1574351,-82.907123
Hawaii,HI,19.8986819,-155.6658568
Idaho,ID,44.0682019,-114.7420408
Illinois,IL,40.6331249,-89.3985283
Indiana,IN,40.5512165,-85.6023643
Iowa,IA,41.8780025,-93.097702
Kansas,KS,39.011902,-98.4842465
Kentucky,KY,37.8393332,-84.2700179
Louisiana,LA,31.2448234,-92.1450245
Maine,ME,45.253783,-69.4454689
Maryland,MD,39.0457549,-76.6412712
Massachusetts,MA,42.4072107,-71.3824374
Michigan,MI,44.3148443,-85.6023643
Minnesota,MN,46.729553,-94.6858998
Mississippi,MS,32.3546679,-89.3985283
Missouri,MO,37.9642529,-91.8318334
Montana,MT,46.8796822,-110.3625658
Nebraska,NE,41.4925374,-99.9018131
Nevada,NV,38.8026097,-116.419389
New Hampshire,NH,43.1938516,-71.5723953
New Jersey,NJ,40.0583238,-74.4056612
New Mexico,NM,34.9727305,-105.0323635
New York,NY,40.756054,-73.986951
North Carolina,NC,35.7595731,-79.0192997
North Dakota,ND,47.5514926,-101.0020119
Ohio,OH,40.4172871,-82.907123
Oklahoma,OK,35.0077519,-97.092877
Oregon,OR,43.8041334,-120.5542012
Pennsylvania,PA,41.2033216,-77.1945247
Rhode Island,RI,41.5800945,-71.4774291
South Carolina,SC,33.836081,-81.1637245
South Dakota,SD,43.9695148,-99.9018131
Tennessee,TN,35.5174913,-86.5804473
Texas,TX,31.9685988,-99.9018131
Utah,UT,39.3209801,-111.0937311
Vermont,VT,44.5588028,-72.5778415
Virginia,VA,37.4315734,-78.6568942
Washington,WA,38.892091,-77.024055
West Virginia,WV,38.5976262,-80.4549026
Wisconsin,WI,43.7844397,-88.7878678
Wyoming,WY,43.0759678,-107.2902839
District of Columbia,DC,38.9059849,-77.0334179
